"","species","site","Date","Sample","Time.Code2","dfw","order","area","salinity","shoot.density","fetch","abundance","TimeID","function.","taxon","group","eelgrss.epifauna"
"41","Alia.carinata","RP",2012-08-07,16,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"42","Alia.carinata","WI",2012-06-30,3,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"43","Alia.carinata","WI",2012-08-05,12,"E",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.E","grazer","gastropod","gastropod","yes"
"44","Alia.carinata","RP",2012-08-07,10,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"45","Alia.carinata","BI",2012-06-20,11,"C",5,3,0.61,15.7,NA,51587,0,"BI.C","grazer","gastropod","gastropod","yes"
"46","Alia.carinata","CC",2012-07-25,12,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"47","Alia.carinata","NB",2012-07-10,13,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"48","Alia.carinata","CB",2012-05-26,6,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"49","Alia.carinata","CB",2012-05-26,8,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"50","Alia.carinata","CB",2012-07-05,11,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"51","Alia.carinata","DC",2012-08-03,6,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"52","Alia.carinata","CB",2012-07-05,14,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"53","Alia.carinata","RP",2012-08-07,11,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"54","Alia.carinata","DC",2012-08-03,7,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"55","Alia.carinata","WI",2012-08-05,11,"E",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.E","grazer","gastropod","gastropod","yes"
"56","Alia.carinata","NB",2012-08-09,6,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"57","Alia.carinata","WI",2012-05-20,8,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"58","Alia.carinata","WI",2012-05-20,9,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"59","Alia.carinata","CB",2012-07-05,7,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"60","Alia.carinata","NB",2012-08-09,12,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"61","Alia.carinata","CC",2012-07-25,13,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"62","Alia.carinata","CB",2012-05-26,16,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"63","Alia.carinata","DC",2012-08-03,4,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"64","Alia.carinata","NB",2012-05-24,6,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"65","Alia.carinata","NB",2012-05-24,7,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"66","Alia.carinata","CB",2012-05-26,10,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"67","Alia.carinata","CB",2012-08-11,8,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"68","Alia.carinata","WI",2012-06-30,2,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"69","Alia.carinata","EI",2012-07-23,6,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"70","Alia.carinata","CC",2012-07-25,11,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"71","Alia.carinata","CB",2012-08-11,11,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"72","Alia.carinata","NB",2012-07-10,12,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"73","Alia.carinata","RP",2012-05-22,8,"A",5.4,5,2.41,21.1,7.9,50551,0,"RP.A","grazer","gastropod","gastropod","yes"
"74","Alia.carinata","DC",2012-05-28,2,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"75","Alia.carinata","NB",2012-07-10,1,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"76","Alia.carinata","NB",2012-07-10,2,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"77","Alia.carinata","DC",2012-08-03,5,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"78","Alia.carinata","BE",2012-06-15,12,"C",9.4,7,0.12,23.5,NA,58973,0,"BE.C","grazer","gastropod","gastropod","yes"
"79","Alia.carinata","DC",2012-05-28,3,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"80","Alia.carinata","NB",2012-07-10,6,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"81","Alia.carinata","NB",2012-07-10,7,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"82","Alia.carinata","RP",2012-08-07,3,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"83","Alia.carinata","WI",2012-06-30,16,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"84","Alia.carinata","NB",2012-07-10,8,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"85","Alia.carinata","CB",2012-05-26,13,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"86","Alia.carinata","NB",2012-05-24,16,"A",1,1,11.33,15.66666667,8,68719,0,"NB.A","grazer","gastropod","gastropod","yes"
"87","Alia.carinata","RP",2012-05-22,6,"A",5.4,5,2.41,21.1,7.9,50551,0,"RP.A","grazer","gastropod","gastropod","yes"
"88","Alia.carinata","NB",2012-07-10,14,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"89","Alia.carinata","NB",2012-07-10,15,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"90","Alia.carinata","NB",2012-07-10,3,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"91","Alia.carinata","CB",2012-07-05,12,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"92","Alia.carinata","WI",2012-06-30,5,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"93","Alia.carinata","CC",2012-07-25,5,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"94","Alia.carinata","DC",2012-08-03,15,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"95","Alia.carinata","DC",2012-05-28,12,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"96","Alia.carinata","CC",2012-07-25,9,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"97","Alia.carinata","NB",2012-08-09,7,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"98","Alia.carinata","NB",2012-07-10,9,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"99","Alia.carinata","RP",2012-07-03,1,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"100","Alia.carinata","CB",2012-08-11,15,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"101","Alia.carinata","CB",2012-05-26,14,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"102","Alia.carinata","CB",2012-05-26,15,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"103","Alia.carinata","CB",2012-05-26,3,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"104","Alia.carinata","NB",2012-07-10,16,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"105","Alia.carinata","CC",2012-07-25,4,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"106","Alia.carinata","CB",2012-08-11,7,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"107","Alia.carinata","CB",2012-08-11,6,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"108","Alia.carinata","EI",2012-07-23,5,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"109","Alia.carinata","CB",2012-07-05,2,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"110","Alia.carinata","WI",2012-06-30,4,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"111","Alia.carinata","EI",2012-07-23,8,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"112","Alia.carinata","CB",2012-05-26,11,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"113","Alia.carinata","EI",2012-07-23,10,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"114","Alia.carinata","EI",2012-07-23,11,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"115","Alia.carinata","CB",2012-07-05,8,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"116","Alia.carinata","CB",2012-07-05,9,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"117","Alia.carinata","RP",2012-07-03,8,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"118","Alia.carinata","NB",2012-07-10,4,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"119","Alia.carinata","NB",2012-07-10,5,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"120","Alia.carinata","WI",2012-05-20,10,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"121","Alia.carinata","DC",2012-05-28,13,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"122","Alia.carinata","DC",2012-05-28,14,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"123","Alia.carinata","DC",2012-05-28,15,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"124","Alia.carinata","DC",2012-05-28,16,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"125","Alia.carinata","WI",2012-05-20,15,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"126","Alia.carinata","NB",2012-07-10,10,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"127","Alia.carinata","NB",2012-07-10,11,"C",1,1,11.33,15.66666667,8,68719,0,"NB.C","grazer","gastropod","gastropod","yes"
"128","Alia.carinata","CB",2012-05-26,1,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"129","Alia.carinata","DC",2012-08-03,3,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"130","Alia.carinata","CC",2012-07-25,2,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"131","Alia.carinata","CC",2012-07-25,3,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"132","Alia.carinata","NB",2012-08-09,1,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"133","Alia.carinata","NB",2012-08-09,2,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"134","Alia.carinata","BI",2012-06-20,3,"C",5,3,0.61,15.7,NA,51587,3,"BI.C","grazer","gastropod","gastropod","yes"
"135","Alia.carinata","DC",2012-08-03,16,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"136","Alia.carinata","NB",2012-08-09,5,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"137","Alia.carinata","CC",2012-07-25,10,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"138","Alia.carinata","DC",2012-06-27,1,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"139","Alia.carinata","CB",2012-08-11,14,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"140","Alia.carinata","WI",2012-05-20,3,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"141","Alia.carinata","BI",2012-06-20,10,"C",5,3,0.61,15.7,NA,51587,0,"BI.C","grazer","gastropod","gastropod","yes"
"142","Alia.carinata","NB",2012-08-09,8,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"143","Alia.carinata","DC",2012-06-27,6,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"144","Alia.carinata","CB",2012-08-11,1,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"145","Alia.carinata","EI",2012-07-23,2,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"146","Alia.carinata","DC",2012-05-28,4,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"147","Alia.carinata","WI",2012-05-20,11,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"148","Alia.carinata","NB",2012-08-09,15,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"149","Alia.carinata","RP",2012-05-22,1,"A",5.4,5,2.41,21.1,7.9,50551,0,"RP.A","grazer","gastropod","gastropod","yes"
"150","Alia.carinata","EI",2012-07-23,7,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"151","Alia.carinata","CB",2012-07-05,4,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"152","Alia.carinata","EI",2012-07-23,9,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"153","Alia.carinata","CB",2012-07-05,6,"C",5.8,4,1.02,16.36666667,5,24845,0,"CB.C","grazer","gastropod","gastropod","yes"
"154","Alia.carinata","DC",2012-05-28,5,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"155","Alia.carinata","WI",2012-05-20,6,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"156","Alia.carinata","WI",2012-05-20,7,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"157","Alia.carinata","RP",2012-08-07,15,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"158","Alia.carinata","RP",2012-07-03,9,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"159","Alia.carinata","RP",2012-07-03,10,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"160","Alia.carinata","RP",2012-08-07,8,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"161","Alia.carinata","DC",2012-05-28,6,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"162","Alia.carinata","WI",2012-08-05,10,"E",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.E","grazer","gastropod","gastropod","yes"
"163","Alia.carinata","DC",2012-05-28,8,"A",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.A","grazer","gastropod","gastropod","yes"
"164","Alia.carinata","DC",2012-06-27,5,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"165","Alia.carinata","DC",2012-06-27,7,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"166","Alia.carinata","WI",2012-05-20,16,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"167","Alia.carinata","NB",2012-08-09,11,"E",1,1,11.33,15.66666667,8,68719,0,"NB.E","grazer","gastropod","gastropod","yes"
"168","Alia.carinata","RP",2012-07-03,16,"C",5.4,5,2.41,21.1,7.9,50551,0,"RP.C","grazer","gastropod","gastropod","yes"
"169","Alia.carinata","CB",2012-05-26,2,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"170","Alia.carinata","RP",2012-08-07,5,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"171","Alia.carinata","RP",2012-08-07,6,"E",5.4,5,2.41,21.1,7.9,50551,0,"RP.E","grazer","gastropod","gastropod","yes"
"172","Alia.carinata","BI",2012-06-20,1,"C",5,3,0.61,15.7,NA,51587,0,"BI.C","grazer","gastropod","gastropod","yes"
"173","Alia.carinata","BI",2012-06-20,2,"C",5,3,0.61,15.7,NA,51587,0,"BI.C","grazer","gastropod","gastropod","yes"
"174","Alia.carinata","DC",2012-08-03,14,"E",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.E","grazer","gastropod","gastropod","yes"
"175","Alia.carinata","CC",2012-07-25,6,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"176","Alia.carinata","WI",2012-06-30,13,"C",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.C","grazer","gastropod","gastropod","yes"
"177","Alia.carinata","CB",2012-05-26,9,"A",5.8,4,1.02,16.36666667,5,24845,0,"CB.A","grazer","gastropod","gastropod","yes"
"178","Alia.carinata","CB",2012-08-11,13,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"179","Alia.carinata","WI",2012-05-20,2,"A",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.A","grazer","gastropod","gastropod","yes"
"180","Alia.carinata","DC",2012-06-27,4,"C",14.4,9,4.34,24.86666667,12.5,32046,0,"DC.C","grazer","gastropod","gastropod","yes"
"181","Alia.carinata","CB",2012-08-11,12,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"182","Alia.carinata","WI",2012-08-05,2,"E",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.E","grazer","gastropod","gastropod","yes"
"183","Alia.carinata","CC",2012-07-25,14,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"184","Alia.carinata","CC",2012-07-25,15,"C",2.2,2,0.95,15.8,NA,29414,0,"CC.C","grazer","gastropod","gastropod","yes"
"185","Alia.carinata","EI",2012-07-23,1,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"186","Alia.carinata","EI",2012-07-23,3,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"187","Alia.carinata","EI",2012-07-23,4,"C",9,6,0.76,21.5,NA,97169,0,"EI.C","grazer","gastropod","gastropod","yes"
"188","Alia.carinata","CB",2012-08-11,4,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"189","Alia.carinata","CB",2012-08-11,5,"E",5.8,4,1.02,16.36666667,5,24845,0,"CB.E","grazer","gastropod","gastropod","yes"
"190","Alia.carinata","WI",2012-08-05,13,"E",10.6,8,0.63,20.96666667,7.9,191429,0,"WI.E","grazer","gastropod","gastropod","yes"
